Title,link
Donald Trump hands out Halloween candy by placing it on kid’s head. Awkward moment goes viral,https://www.hindustantimes.com/it-s-viral/donald-trump-hands-out-halloween-candy-by-placing-it-on-kid-s-head-awkward-moment-goes-viral/story-g3XmZnqpkwCeORbevimMTK.html
"Man steals lemur from California zoo, gets prison sentence",https://www.hindustantimes.com/it-s-viral/man-steals-lemur-from-california-zoo-gets-prison-sentence/story-igRNPJZtNqYfINnlhs9DAI.html
‘Journey for Tigers: Couple goes on motorbike campaign for tiger conservation,https://www.hindustantimes.com/it-s-viral/journey-for-tigers-couple-goes-on-motorbike-campaign-for-tiger-conservation/story-0Rr0RTLzSoAXj6QxwPSKuM.html
Tiktok turns purple with this new challenge. Watch,https://www.hindustantimes.com/it-s-viral/tiktok-turns-purple-with-this-new-challenge-watch/story-s1zn1SpJZF7fi2GPToIvHI.html
Man searching for slippers is the new catch for meme makers,https://www.hindustantimes.com/it-s-viral/man-searching-for-slippers-is-the-new-catch-for-meme-makers/story-KEFM5nyfLnh51DkCq7giLL.html
Staircase showed in ‘Joker’ becomes New York hotspot,https://www.hindustantimes.com/it-s-viral/staircase-showed-in-joker-becomes-new-york-hotspot/story-2yl2ZNJsYqt293yrERr4cL.html
Man’s unique style of lighting rockets creates big dhamaka on Twitter,https://www.hindustantimes.com/it-s-viral/man-s-unique-style-of-lighting-rockets-creates-big-dhamaka-on-twitter/story-mqJJWa8YhQNChbEIiyyZtK.html
"Men save puppy stuck in canal, video earns Twitter’s praise. Watch",https://www.hindustantimes.com/it-s-viral/men-save-puppy-stuck-in-canal-video-earns-twitter-s-praise-watch/story-OKrDqRHsNGegXYOJZS5TAJ.html
Alert RPF personnel saves passenger from falling off moving train. Watch,https://www.hindustantimes.com/it-s-viral/alert-rpf-personnel-saves-passenger-from-falling-off-moving-train-watch/story-SYr6ZIaXLCgXJF4BtfBgWL.html
Harsh Goenka shares clip of ‘chadar’ roti that’ll put rumali rotis to shame,https://www.hindustantimes.com/it-s-viral/harsh-goenka-shares-clip-of-chadar-roti-that-ll-put-rumali-rotis-to-shame/story-HtoFsZgtv1wMrzRftYgItJ.html
